cnn~Hollie Silverman, CNN~DC Pride Parade marchers injured after panic caused by noises mistaken for gunshots~http://us.cnn.com/2019/06/08/us/dc-pride-parade-panic/index.html~2019-06-09T00:58:49Z,
cnn~Jacopo Prisco~Pride 2019: A colorful history of the rainbow flag~http://us.cnn.com/style/article/pride-rainbow-flag-design-history/index.html~2019-06-07T11:05:58Z,,
cnn~Caroline Kelly~New York Times: Mexico had planned on most actions in border deal before Trump tariff threat~http://us.cnn.com/2019/06/08/politics/nyt-trump-mexico-agreed-deal-months-ago/index.html~2019-06-08T22:11:46Z,,
cnn~Michael Warren and Fredreka Schouten, CNN~'It's been a disaster.' Inside the Trump super PAC struggles~http://us.cnn.com/2019/06/07/politics/trump-super-pac-america-first/index.html~2019-06-08T20:38:32Z,
cnn~null~SE Cupp hits Biden for 'flip-flops galore' - CNN Video~http://us.cnn.com/videos/politics/2019/06/08/se-cupp-monologue-joe-biden-flip-hyde-vpx.cnn~null,,
cnn~null~Trump's Moon tweet leads to confusion - CNN Video~http://us.cnn.com/videos/politics/2019/06/08/donald-trump-mars-moon-tweet-sot-vpx.cnn~null,cnn~Dan Merica and Daniella Diaz, CNN~2020 Democrats flock to Des Moines' Pride festival to embrace LGBTQ Iowans~http://us.cnn.com/2019/06/08/politics/iowa-lgbtq-pride-2020-democrats/index.html~2019-06-08T20:45:31Z
cnn~null~Chris Cuomo and Don Lemon blast 'straight pride' parade - CNN Video~http://us.cnn.com/videos/us/2019/06/08/cuomo-lemon-handoff-straight-pride-parade-cpt-vpx.cnn~null,,
cnn~Leah Asmelash and Allison Morrow, CNN~For the first time ever, Wisconsin is flying the rainbow pride flag over its Capitol building~http://us.cnn.com/2019/06/07/us/wisconsin-pride-flag-trnd/index.html~2019-06-07T19:20:28Zcnn~Dan Merica and Daniella Diaz, CNN~2020 Democrats flock to Des Moines' Pride festival to embrace LGBTQ Iowans~http://us.cnn.com/2019/06/08/politics/iowa-lgbtq-pride-2020-democrats/index.html~2019-06-08T20:45:31Z
cnn~Jennifer Agiesta, CNN Polling Director~CNN Iowa Poll: Biden leads a tighter top tier in first caucus state~http://us.cnn.com/2019/06/08/politics/iowa-poll-2020-biden-sanders-warren-buttigieg-harris/index.html~2019-06-09T00:04:42Z
