cnn~Ralph Ellis and Patrick Oppmann, CNN~David Ortiz shooting suspect says baseball legend was not his intended target~https://www.cnn.com/2019/06/14/us/ortiz-shooting-suspect-denies-targeting-ortiz/index.html~2019-06-14T17:09:13Z
cnn~Patrick Oppmann and Faith Karimi, CNN~A woman and 8 men have been charged as accomplices in the shooting of David Ortiz~http://us.cnn.com/2019/06/14/us/david-ortiz-shooting-friday/index.html~2019-06-14T09:43:49Z
cnn~null~Surveillance video shows David Ortiz being shot - CNN Video~http://us.cnn.com/videos/us/2019/06/10/david-ortiz-shot-mlb-boston-red-sox-orig-js.cnn~null
cnn~Patrick Oppmann, Nicole Chavez and Madeline Holcombe, CNN~Suspected gunman in David Ortiz's shooting wanted for armed robberies in New Jersey~http://us.cnn.com/2019/06/13/us/david-ortiz-shooting-thursday/index.html~2019-06-14T03:46:45Z
cnn~Roxanne Jones~What we owe David Ortiz~http://us.cnn.com/2019/06/11/opinions/david-ortiz-big-papi-and-boston-jones/index.html~2019-06-11T22:46:09Z
cnn~null~How the shooting of David Ortiz unfolded - CNN Video~http://us.cnn.com/videos/world/2019/06/13/david-ortiz-shooting-oppmann-pkg-vpx.cnn~null
cnn~Deanna Hackney and Ralph Ellis, CNN~Toronto Raptors executive struck officer after team won NBA title, authorities say~http://us.cnn.com/2019/06/14/us/toronto-raptors-executive-scuffles-with-officer-trnd/index.html~2019-06-14T17:53:23Z
cnn~Emily Bass and Jessica Prater, CNN~A mother and child were attacked by a coyote in a New Jersey park. Then police shot the animal dead~http://us.cnn.com/2019/06/14/us/coyote-attack-new-jersey-trnd/index.html~2019-06-14T17:02:41Z
cnn~Dan Merica, CNN~Here are the matchups for the first 2020 Democratic debates~http://us.cnn.com/2019/06/14/politics/first-democratic-debate-stages-2020/index.html~2019-06-14T17:21:46Z
cnn~Harmeet Kaur, CNN~It's Donald Trump's birthday, but it's #JohnMcCainDay on Twitter~http://us.cnn.com/2019/06/14/politics/trump-birthday-john-mccain-trnd/index.html~2019-06-14T17:54:22Z
